hands,utg_open,btn_call,btn_open,sb_call,sb_open,bb_call
96s,0.0,,0.0,1.0,,0.0
97o,0.25,0.0,0.0,0.5,0.0,0.5
97s,,,0.0,0.0,1.0,0.0
98o,0.4,1.0,0.0,1.0,0.5,0.0
98s,1.0,1.0,0.0,0.0,,0.5
99,0.688,0.75,0.533,0.583,0.625,0.594
A2o,0.48,0.286,0.433,0.5,0.571,0.475
A2s,0.8,0.25,0.25,0.417,0.0,0.5
A3o,0.478,0.75,0.478,0.457,0.562,0.469
A3s,0.571,0.25,0.6,0.667,1.0,0.429
A4o,0.667,0.625,0.485,0.5,0.6,0.578
A4s,0.538,0.286,0.286,0.667,0.5,0.45
A5o,0.433,0.533,0.474,0.429,0.421,0.417
A5s,0.5,1.0,0.833,0.273,0.25,0.588
A6o,0.393,0.353,0.348,0.469,0.583,0.532
A6s,0.4,0.0,0.462,0.545,0.385,0.294
A7o,0.433,0.312,0.448,0.333,0.591,0.517
A7s,0.273,0.8,0.538,0.5,0.25,0.389
A8o,0.515,0.273,0.5,0.5,0.727,0.579
A8s,0.417,0.875,0.556,0.455,0.857,0.667
A9o,0.567,0.308,0.577,0.419,0.6,0.432
A9s,0.375,0.2,0.571,0.538,0.429,0.636
AA,0.727,0.667,0.909,1.0,0.8,0.727
AJo,0.609,0.636,0.543,0.548,0.636,0.61
AJs,0.667,0.75,0.769,0.286,0.571,0.429
AKo,0.625,0.667,0.652,0.581,0.621,0.64
AKs,0.7,0.667,0.727,0.375,1.0,0.565
AQo,0.607,0.5,0.577,0.579,0.579,0.583
AQs,0.375,0.333,0.643,0.375,0.444,0.556
ATo,0.438,0.455,0.613,0.364,0.667,0.655
ATs,0.5,0.4,0.429,0.5,0.8,0.6
J2o,1.0,0.0,,0.5,,0.5
J2s,,,0.0,,0.0,
J3o,0.714,0.667,0.0,0.4,,0.333
J3s,0.0,0.0,1.0,1.0,0.5,0.75
J4o,0.0,0.0,0.5,0.0,0.0,0.25
J4s,0.5,,0.333,0.5,0.0,
J5o,,0.0,0.0,,0.5,0.4
J5s,,,0.5,0.0,,0.5
J6o,0.333,,0.0,0.0,,
J6s,0.333,0.0,,,,
J7o,0.0,1.0,0.333,0.0,0.0,0.5
J7s,0.0,0.0,1.0,,0.0,1.0
J8o,0.25,,0.0,0.0,0.75,0.2
J8s,0.75,1.0,0.2,0.556,0.0,0.333
J9o,0.292,0.167,0.233,0.458,0.429,0.304
J9s,0.333,0.5,0.2,0.667,0.5,0.556
JJ,0.867,0.583,0.75,0.333,0.75,0.615
JTo,0.348,0.375,0.346,0.424,0.188,0.353
JTs,0.111,0.375,0.667,0.444,0.667,0.533
K2o,0.5,,0.333,0.444,0.4,0.5
K2s,0.5,0.667,0.0,0.5,0.5,0.364
K3o,1.0,0.25,0.444,0.167,0.5,0.444
K3s,0.0,0.143,0.5,,0.25,0.417
K4o,0.667,0.5,0.75,0.5,0.8,0.455
K4s,0.333,0.4,0.5,0.583,,0.5
K5o,0.5,0.0,0.5,0.0,0.0,0.308
K5s,0.6,0.333,0.4,0.429,1.0,0.385
K6o,0.348,0.143,0.409,0.419,0.25,0.387
K6s,0.5,0.4,0.125,0.357,,0.429
K7o,0.421,0.273,0.318,0.292,0.4,0.333
K7s,0.462,1.0,0.4,0.444,0.5,0.4
K8o,0.357,0.357,0.37,0.409,0.5,0.256
K8s,0.571,0.0,0.4,0.308,0.4,0.4
K9o,0.333,0.625,0.444,0.333,0.412,0.413
K9s,0.333,0.8,0.6,0.429,0.5,0.5
KJo,0.5,0.429,0.423,0.394,0.643,0.426
KJs,0.5,0.75,0.5,0.615,0.0,0.417
KK,0.833,0.75,0.75,0.941,0.8,0.636
KQo,0.462,0.167,0.364,0.512,0.5,0.391
KQs,0.846,0.571,0.5,0.417,0.455,0.706
KTo,0.333,0.357,0.429,0.486,0.429,0.447
KTs,0.4,0.75,0.6,0.692,0.333,0.353
Q2o,1.0,,0.333,0.5,0.0,0.333
Q2s,1.0,,,0.333,0.0,0.5
Q3o,0.5,0.0,0.25,0.667,1.0,0.0
Q3s,0.0,0.0,,0.0,0.0,0.333
Q4o,0.0,0.0,1.0,1.0,0.75,0.5
Q4s,0.333,,,,0.0,0.0
Q5o,0.0,0.0,1.0,0.0,,0.0
Q5s,0.5,,1.0,1.0,0.0,0.0
Q6o,0.5,0.0,1.0,0.0,1.0,0.0
Q6s,0.6,0.4,0.4,0.625,0.25,0.385
Q7o,1.0,0.5,0.75,0.0,0.0,0.4
Q7s,0.1,0.5,0.167,0.357,0.667,0.429
Q8o,0.333,0.0,1.0,0.333,0.667,0.167
Q8s,0.667,0.667,0.333,0.25,0.667,0.353
Q9o,0.2,0.333,0.4,0.5,0.222,0.353
Q9s,0.364,0.0,0.444,0.375,0.0,0.5
QJo,0.536,0.412,0.632,0.294,0.444,0.51
QJs,0.3,0.5,0.2,0.375,0.667,0.522
QQ,0.667,0.688,0.667,0.824,1.0,0.697
QTo,0.448,0.474,0.4,0.438,0.385,0.468
QTs,0.2,0.333,0.333,0.6,0.667,0.579
T2o,0.0,0.0,0.0,,0.0,0.0
T2s,0.0,,1.0,,1.0,0.0
T3o,,0.0,,0.6,1.0,0.5
T3s,0.667,,,,,0.0
T4o,0.0,0.5,0.0,0.0,,0.2
T4s,0.0,,,0.5,,0.25
T5o,1.0,,0.0,1.0,,1.0
T5s,,,0.5,0.0,1.0,1.0
T6o,0.0,0.0,,,,0.0
T6s,1.0,,0.5,,0.0,0.5
T7o,0.0,,,0.75,1.0,0.25
T7s,0.0,0.0,1.0,0.5,,0.5
T8o,0.0,1.0,0.5,0.0,,0.667
T8s,0.5,,0.0,1.0,1.0,0.5
T9o,0.333,0.0,0.333,0.0,0.25,0.5
T9s,0.6,0.5,0.167,0.429,0.333,0.5
TT,0.643,0.75,0.625,0.444,1.0,0.778
